prefecture,city,district,number,address,name,lat,long
東京都,港区,東京7区,16-6,白金台１－４－26,白金小学校西側鉄柵（北寄り）,35.6370225,139.7282526
東京都,港区,東京7区,16-7,白金台３－１４－６,ＮＴＴ白金ビル東側鉄柵右寄り,35.6370828,139.725662
東京都,港区,東京7区,16-8,白金台５−１９−１,白金台どんぐり児童遊園バス停前植込,35.6363939,139.722355
東京都,港区,東京7区,17-1,高輪１−１５−１,都営高輪一丁目アパート南側植込,35.6389844,139.7348771
東京都,港区,東京7区,17-2,高輪１−４－35,高輪子ども中高生プラザ前鉄柵,35.6423117,139.7348922
東京都,港区,東京7区,17-3,高輪１−１６−２５,区立高松中学校東側金網,35.6403323,139.7351322
東京都,港区,東京7区,17-4,高輪１−１６−２５,区立高松中学校北西石垣,35.6397743,139.7340808
東京都,港区,東京7区,17-5,高輪１−２７−２７,区立高輪一丁目緑地,35.635822,139.7328798
東京都,港区,東京7区,17-6,高輪２−１２−３１,高輪幼稚園入口左側金網,35.6355245,139.7350664
東京都,港区,東京7区,17-7,高輪２−８−２４,高輪台小学校の中央寄り門左側植込,35.6361274,139.7338805
東京都,港区,東京7区,17-8,高輪３－１,高輪郵政宿舎西側植込右寄り,35.635367,139.7314872
東京都,港区,東京7区,18-1,高輪２−１３−８,シティハイツ桂坂公園側鉄柵,35.6346891,139.7372629
東京都,港区,東京7区,18-2,高輪２−１３−８,シティハイツ桂坂東側植込左寄り,35.6342487,139.737971
東京都,港区,東京7区,18-3,高輪３−１９−３６,桂坂保育室Ａ棟南側金網,35.6331608,139.7370518
東京都,港区,東京7区,18-4,高輪２−１５−３７,泉岳寺前児童遊園金網,35.6374267,139.7379361
東京都,港区,東京7区,18-5,高輪３−１８−１８,高輪公園入口左側スロープ,35.6329831,139.7359195
東京都,港区,東京7区,18-6,高輪３−１９−３６,桂坂保育室Ａ棟北側金網,35.6332786,139.7375024
東京都,港区,東京7区,18-7,高輪３−１８−１８,高輪公園入口右側植込,35.6332665,139.7360161
東京都,港区,東京7区,19-1,高輪３－８,桜田通り高輪台交差点植込,35.632168,139.73102
東京都,港区,東京7区,19-2,高輪３−９−１３,東京電力パワーグリッド（株）高輪調整所南側植込,35.6320822,139.7317593
東京都,港区,東京7区,19-3,高輪３−１３−３,シナガワグース南西角搬入車両入口右側,35.629196,139.7358544
東京都,港区,東京7区,19-4,高輪４−１−５,佛所護念会高輪教会東側鉄柵,35.629869,139.7322917
東京都,港区,東京7区,19-5,高輪４−１−５,佛所護念会高輪教会北側鉄柵,35.630087,139.731825
東京都,港区,東京7区,19-6,高輪４−２４−３６,区立高輪南町児童遊園北側植込,35.6250816,139.7350427
東京都,港区,東京7区,19-7,高輪３−１３,品川駅高輪口第二暫定自転車等駐車場（旧みなと高輪バイクイン）金網,35.6291416,139.7370791
東京都,港区,東京7区,20-1,港南４−６,天王洲大橋手前（港区側）都道鉄柵,35.6254649,139.7501664
東京都,港区,東京7区,20-2,港南４−３−３,港南中学校北側植込,35.6313495,139.7492045
東京都,港区,東京7区,20-3,港南４−３−２８,港南小学校正門横植込,35.6297603,139.7486671
東京都,港区,東京7区,20-4,港南４−３,港南子ども中高生プラザ前都道植込,35.6310683,139.7502481
東京都,港区,東京7区,20-5,港南４−３−２８,港南小学校開放玄関左側植込,35.6291412,139.7500565
東京都,港区,東京7区,20-6,港南４−５,海岸通り側東京海洋大学前都道植込,35.6284939,139.7499719
東京都,港区,東京7区,20-7,港南４−５−１,都営港南四丁目アパート１号棟北側植込,35.6287266,139.7467523
東京都,港区,東京7区,20-8,港南４−５−４,都営港南四丁目アパート４号棟前区立高浜運河沿緑地,35.6245691,139.7466764
東京都,港区,東京7区,21-1,六本木４−２−２７,三河台公園南側入口右側植込,35.6645368,139.7340881
